MPI_Ranks, OMP_Per_Rank, Total_Cores, Single_Rank_BW(GB/s), Aggregate_BW(GB/s), Efficiency(%)
1, 16, 16, 12326.2, (所有rank):, 24652.4
1, 26, 26, 14550.3, (所有rank):, 29100.6
1, 32, 32, 15342.6, (所有rank):, 30685.1
1, 52, 52, 28953.8, (所有rank):, 57907.5
2, 16, 32, 12471.2, (所有rank):, 49884.8
2, 26, 52, 14368.3, (所有rank):, 57473.4
2, 32, 64, 15318, (所有rank):, 61272
2, 52, 104, 28978.1, (所有rank):, 115913
4, 16, 64, 12691.7, (所有rank):, 101534
4, 26, 104, 14318, (所有rank):, 114544
4, 32, 128, 15270, (所有rank):, 122160
4, 52, 208, 28894.7, (所有rank):, 231158
8, 16, 128, 12856.3, (所有rank):, 205701
8, 26, 208, 14290.9, (所有rank):, 228654
8, 32, 256, 14857.3, (所有rank):, 237717
8, 52, 416, 28755.1, (所有rank):, 460082
